date,mean_ndvi,min_ndvi,max_ndvi
2023-12-19,0.23138571428571428,0.2026,0.2876
2023-12-19,0.21216428571428575,0.21200000000000002,0.2189
2024-01-01,0.015152380952380952,0.0077,0.026600000000000002
2024-01-01,1.650264285714286,0.20700000000000002,1.8453000000000002
2024-01-17,0.08596666666666666,0.0014,0.3163
2024-01-17,1.1453142857142857,0.21200000000000002,1.8453000000000002
2024-02-02,0.2317714285714286,0.21200000000000002,0.3158
2024-02-02,0.21655000000000002,0.19540000000000002,0.2489
2024-02-18,0.21172380952380956,0.2116,0.21200000000000002
2024-02-18,0.22511904761904764,0.19740000000000002,0.2454
